anio,mes,tipo_licencia,sexo,cantidad
2011,Julio,nuevas,MASCULINO,3904
2011,Julio,nuevas,FEMENINO,1741
2011,Julio,renovadas,MASCULINO,15126
2011,Julio,renovadas,FEMENINO,6114
2011,Agosto,nuevas,MASCULINO,4323
2011,Agosto,nuevas,FEMENINO,1963
2011,Agosto,renovadas,MASCULINO,16987
2011,Agosto,renovadas,FEMENINO,6690
2011,Septiembre,nuevas,MASCULINO,4538
2011,Septiembre,nuevas,FEMENINO,2043
2011,Septiembre,renovadas,MASCULINO,17302
2011,Septiembre,renovadas,FEMENINO,6736
2011,Octubre,nuevas,MASCULINO,3787
2011,Octubre,nuevas,FEMENINO,1613
2011,Octubre,renovadas,MASCULINO,10032
2011,Octubre,renovadas,FEMENINO,3924
2011,Noviembre,nuevas,MASCULINO,3827
2011,Noviembre,nuevas,FEMENINO,1731
2011,Noviembre,renovadas,MASCULINO,19804
2011,Noviembre,renovadas,FEMENINO,7456
2011,Diciembre,nuevas,MASCULINO,3195
2011,Diciembre,nuevas,FEMENINO,1456
2011,Diciembre,renovadas,MASCULINO,19958
2011,Diciembre,renovadas,FEMENINO,7783
2012,Enero,nuevas,MASCULINO,3288
2012,Enero,nuevas,FEMENINO,1455
2012,Enero,renovadas,MASCULINO,20965
2012,Enero,renovadas,FEMENINO,8365
2012,Febrero,nuevas,MASCULINO,2553
2012,Febrero,nuevas,FEMENINO,1198
2012,Febrero,renovadas,MASCULINO,15947
2012,Febrero,renovadas,FEMENINO,6492
2012,Marzo,nuevas,MASCULINO,4198
2012,Marzo,nuevas,FEMENINO,1959
2012,Marzo,renovadas,MASCULINO,20905
2012,Marzo,renovadas,FEMENINO,8457
2012,Abril,nuevas,MASCULINO,3591
2012,Abril,nuevas,FEMENINO,1590
2012,Abril,renovadas,MASCULINO,16038
2012,Abril,renovadas,FEMENINO,6362
2012,Mayo,nuevas,MASCULINO,4202
2012,Mayo,nuevas,FEMENINO,1984
2012,Mayo,renovadas,MASCULINO,20181
2012,Mayo,renovadas,FEMENINO,7800
2012,Junio,nuevas,MASCULINO,4107
2012,Junio,nuevas,FEMENINO,1904
2012,Junio,renovadas,MASCULINO,17882
2012,Junio,renovadas,FEMENINO,6935
2012,Julio,nuevas,MASCULINO,3846
2012,Julio,nuevas,FEMENINO,1921
2012,Julio,renovadas,MASCULINO,19288
2012,Julio,renovadas,FEMENINO,7833
2012,Agosto,nuevas,MASCULINO,3998
2012,Agosto,nuevas,FEMENINO,1946
2012,Agosto,renovadas,MASCULINO,19231
2012,Agosto,renovadas,FEMENINO,7426
2012,Septiembre,nuevas,MASCULINO,3994
2012,Septiembre,nuevas,FEMENINO,1650
2012,Septiembre,renovadas,MASCULINO,17529
2012,Septiembre,renovadas,FEMENINO,6572
2012,Octubre,nuevas,MASCULINO,4057
2012,Octubre,nuevas,FEMENINO,1807
2012,Octubre,renovadas,MASCULINO,20909
2012,Octubre,renovadas,FEMENINO,8035
2012,Noviembre,nuevas,MASCULINO,3748
2012,Noviembre,nuevas,FEMENINO,1841
2012,Noviembre,renovadas,MASCULINO,20525
2012,Noviembre,renovadas,FEMENINO,7781
2012,Diciembre,nuevas,MASCULINO,3776
2012,Diciembre,nuevas,FEMENINO,1852
2012,Diciembre,renovadas,MASCULINO,19878
